0:0:0:0:0:0:0:1 - - [12/Mar/2026:14:59:58 +0530] "GET /CampusConnect/register HTTP/1.1" 200 9743
0:0:0:0:0:0:0:1 - - [12/Mar/2026:14:59:58 +0530] "GET /CampusConnect/css/register.css HTTP/1.1" 200 16424
0:0:0:0:0:0:0:1 - - [12/Mar/2026:14:59:58 +0530] "GET /CampusConnect/js/register.js HTTP/1.1" 200 10717
0:0:0:0:0:0:0:1 - - [12/Mar/2026:15:00:05 +0530] "GET /CampusConnect/register HTTP/1.1" 200 9743
0:0:0:0:0:0:0:1 - - [12/Mar/2026:15:00:05 +0530] "GET /CampusConnect/css/style.css HTTP/1.1" 200 33100
0:0:0:0:0:0:0:1 - - [12/Mar/2026:15:00:05 +0530] "GET /CampusConnect/css/register.css HTTP/1.1" 200 16424
0:0:0:0:0:0:0:1 - - [12/Mar/2026:15:00:05 +0530] "GET /CampusConnect/js/register.js HTTP/1.1" 200 10717
0:0:0:0:0:0:0:1 - - [12/Mar/2026:15:00:06 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [12/Mar/2026:15:14:25 +0530] "GET /CampusConnect/register HTTP/1.1" 200 9743
0:0:0:0:0:0:0:1 - - [12/Mar/2026:15:14:25 +0530] "GET /CampusConnect/css/register.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2026:15:14:25 +0530] "GET /CampusConnect/js/register.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2026:15:14:36 +0530] "GET /CampusConnect/register HTTP/1.1" 200 9743
0:0:0:0:0:0:0:1 - - [12/Mar/2026:15:32:32 +0530] "GET /CampusConnect/register HTTP/1.1" 200 9743
0:0:0:0:0:0:0:1 - - [12/Mar/2026:15:32:32 +0530] "GET /CampusConnect/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2026:15:32:32 +0530] "GET /CampusConnect/css/register.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2026:15:32:32 +0530] "GET /CampusConnect/js/register.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2026:16:54:27 +0530] "GET /CampusConnect/register HTTP/1.1" 200 9889
0:0:0:0:0:0:0:1 - - [12/Mar/2026:16:54:27 +0530] "GET /CampusConnect/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2026:16:54:27 +0530] "GET /CampusConnect/css/register.css HTTP/1.1" 200 12456
0:0:0:0:0:0:0:1 - - [12/Mar/2026:16:54:27 +0530] "GET /CampusConnect/js/validation.js HTTP/1.1" 200 7438
0:0:0:0:0:0:0:1 - - [12/Mar/2026:16:54:39 +0530] "GET /CampusConnect/ HTTP/1.1" 200 30163
0:0:0:0:0:0:0:1 - - [12/Mar/2026:16:54:59 +0530] "GET /CampusConnect/login.jsp HTTP/1.1" 200 3255
0:0:0:0:0:0:0:1 - - [12/Mar/2026:16:54:59 +0530] "GET /CampusConnect/js/script.js HTTP/1.1" 200 13495
0:0:0:0:0:0:0:1 - - [12/Mar/2026:16:55:06 +0530] "POST /CampusConnect/login HTTP/1.1" 200 3462
0:0:0:0:0:0:0:1 - - [12/Mar/2026:16:55:13 +0530] "POST /CampusConnect/login HTTP/1.1" 200 3471
0:0:0:0:0:0:0:1 - - [12/Mar/2026:16:55:20 +0530] "GET /CampusConnect/register HTTP/1.1" 200 9889
0:0:0:0:0:0:0:1 - - [12/Mar/2026:16:55:20 +0530] "GET /CampusConnect/css/register.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2026:16:55:20 +0530] "GET /CampusConnect/js/validation.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2026:16:55:58 +0530] "POST /CampusConnect/register HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Mar/2026:16:55:58 +0530] "GET /CampusConnect/login HTTP/1.1" 200 3479
0:0:0:0:0:0:0:1 - - [12/Mar/2026:16:56:14 +0530] "POST /CampusConnect/login HTTP/1.1" 200 3462
0:0:0:0:0:0:0:1 - - [12/Mar/2026:16:56:21 +0530] "POST /CampusConnect/login HTTP/1.1" 200 3462
0:0:0:0:0:0:0:1 - - [12/Mar/2026:16:56:26 +0530] "GET /CampusConnect/register HTTP/1.1" 200 9889
0:0:0:0:0:0:0:1 - - [12/Mar/2026:16:56:26 +0530] "GET /CampusConnect/css/register.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2026:16:56:26 +0530] "GET /CampusConnect/js/validation.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2026:16:57:17 +0530] "POST /CampusConnect/register HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Mar/2026:16:57:17 +0530] "GET /CampusConnect/login HTTP/1.1" 200 3479
0:0:0:0:0:0:0:1 - - [12/Mar/2026:16:57:34 +0530] "POST /CampusConnect/login HTTP/1.1" 200 3461
